title,artist,year,era,url
Grazing in the Grass,Hugh Masekela,1968,hot100,https://en.wikipedia.org/wiki/Grazing_in_the_Grass
"Hello, I Love You",The Doors,1968,hot100,"https://en.wikipedia.org/wiki/Hello,_I_Love_You"
People Got to Be Free,The Rascals,1968,hot100,https://en.wikipedia.org/wiki/People_Got_to_Be_Free
Harper Valley PTA,Jeannie C. Riley,1968,hot100,https://en.wikipedia.org/wiki/Harper_Valley_PTA
Hey Jude,The Beatles,1968,hot100,https://en.wikipedia.org/wiki/Hey_Jude
Love Child,Diana Ross & the Supremes,1968,hot100,https://en.wikipedia.org/wiki/Love_Child_(song)
I Heard It Through the Grapevine,Marvin Gaye,1968,hot100,https://en.wikipedia.org/wiki/I_Heard_It_Through_the_Grapevine
I Heard It Through the Grapevine,Marvin Gaye,1969,hot100,https://en.wikipedia.org/wiki/I_Heard_It_Through_the_Grapevine
Crimson and Clover,Tommy James and the Shondells,1969,hot100,https://en.wikipedia.org/wiki/Crimson_and_Clover
Everyday People,Sly & the Family Stone,1969,hot100,https://en.wikipedia.org/wiki/Everyday_People
Dizzy,Tommy Roe,1969,hot100,https://en.wikipedia.org/wiki/Dizzy_(Tommy_Roe_song)
Aquarius/Let the Sunshine In,The 5th Dimension,1969,hot100,https://en.wikipedia.org/wiki/Aquarius/Let_the_Sunshine_In
Get Back,The Beatles,1969,hot100,https://en.wikipedia.org/wiki/Get_Back
Love Theme from Romeo and Juliet,Henry Mancini,1969,hot100,https://en.wikipedia.org/wiki/Love_Theme_from_Romeo_and_Juliet
In the Year 2525,Zager and Evans,1969,hot100,https://en.wikipedia.org/wiki/In_the_Year_2525
Honky Tonk Women,The Rolling Stones,1969,hot100,https://en.wikipedia.org/wiki/Honky_Tonk_Women
"Sugar, Sugar",The Archies,1969,hot100,"https://en.wikipedia.org/wiki/Sugar,_Sugar"
I Can't Get Next to You,The Temptations,1969,hot100,https://en.wikipedia.org/wiki/I_Can%27t_Get_Next_to_You
Suspicious Minds,Elvis Presley,1969,hot100,https://en.wikipedia.org/wiki/Suspicious_Minds
Wedding Bell Blues,The 5th Dimension,1969,hot100,https://en.wikipedia.org/wiki/Wedding_Bell_Blues
Come Together,The Beatles,1969,hot100,https://en.wikipedia.org/wiki/Come_Together
Na Na Hey Hey Kiss Him Goodbye,Steam,1969,hot100,https://en.wikipedia.org/wiki/Na_Na_Hey_Hey_Kiss_Him_Goodbye
Leaving on a Jet Plane,"Peter, Paul and Mary",1969,hot100,https://en.wikipedia.org/wiki/Leaving_on_a_Jet_Plane
Someday We'll Be Together,Diana Ross & the Supremes,1969,hot100,https://en.wikipedia.org/wiki/Someday_We%27ll_Be_Together
Raindrops Keep Fallin' on My Head,B. J. Thomas,1970,hot100,https://en.wikipedia.org/wiki/Raindrops_Keep_Fallin%27_on_My_Head
I Want You Back,The Jackson 5,1970,hot100,https://en.wikipedia.org/wiki/I_Want_You_Back
Venus,Shocking Blue,1970,hot100,https://en.wikipedia.org/wiki/Venus_(Shocking_Blue_song)
Thank You (Falettinme Be Mice Elf Agin),Sly & the Family Stone,1970,hot100,https://en.wikipedia.org/wiki/Thank_You_(Falettinme_Be_Mice_Elf_Agin)
Bridge over Troubled Water,Simon & Garfunkel,1970,hot100,https://en.wikipedia.org/wiki/Bridge_over_Troubled_Water_(song)
Let It Be,The Beatles,1970,hot100,https://en.wikipedia.org/wiki/Let_It_Be_(song)
ABC,The Jackson 5,1970,hot100,https://en.wikipedia.org/wiki/ABC_(The_Jackson_5_song)
American Woman,The Guess Who,1970,hot100,https://en.wikipedia.org/wiki/American_Woman
Everything Is Beautiful,Ray Stevens,1970,hot100,https://en.wikipedia.org/wiki/Everything_Is_Beautiful
The Long and Winding Road,The Beatles,1970,hot100,https://en.wikipedia.org/wiki/The_Long_and_Winding_Road
The Love You Save,The Jackson 5,1970,hot100,https://en.wikipedia.org/wiki/The_Love_You_Save
Mama Told Me (Not to Come),Three Dog Night,1970,hot100,https://en.wikipedia.org/wiki/Mama_Told_Me_Not_to_Come
(They Long to Be) Close to You,The Carpenters,1970,hot100,https://en.wikipedia.org/wiki/(They_Long_to_Be)_Close_to_You
