album,artist,date,genre,name,score,tags,url
Life Rolls On,Florida Georgia Line,2021-02-15T23:59:00-0500,pop,Florida Georgia Line - Life Rolls On,3,florida georgia line | life rolls on | album | 2021 | big machine | pop | country | bro-country | 3/10 | review,https://www.theneedledrop.com/articles/2021/2/florida-georgia-line-life-rolls-on
TYRON,slowthai,2021-02-16T23:11:00-0500,hip hop,slowthai - TYRON,8,slowthai | tyron | 2021 | album | method | rap | hip hop | uk | trap | 8/10 | review,https://www.theneedledrop.com/articles/2021/2/slowthai-tyron
I've Seen All I Need to See,The Body,2021-02-04T23:12:00-0500,loud rock,The Body - I've Seen All I Need to See,7,the body | i've seen all i need to see | 2021 | album | thrill jockey | loud rock | drone metal | power electronics | noise | 7/10 | review,https://www.theneedledrop.com/articles/2021/2/the-body-ive-seen-all-i-need-to-see
BRASS,Moor Mother &amp; billy woods,2021-01-26T22:06:00-0500,moor mother,Moor Mother &amp; billy woods - BRASS,8,moor mother | billy woods | brass | album | 2021 | backwoodz studioz | rap | hip hop | abstract hip hop | 8/10 | review | collaboration | collab | 2020,https://www.theneedledrop.com/articles/2021/1/moor-mother-amp-billy-woods-brass
bob's son,R.A.P. Ferreira,2021-01-28T23:11:00-0500,hip hop,R.A.P. Ferreira - bob's son,6,rap ferreira | bob's son | album | 2021 | ruby yacht | rap | hip hop | abstract hip hop | poetry | jazz rap | 6/10 | review,https://www.theneedledrop.com/articles/2021/1/rap-ferreira-bobs-son
Demidevil,Ashnikko,2021-01-30T22:13:00-0500,hip hop,Ashnikko - Demidevil,6,ashnikko | demidevil | 2021 | mixtape | parlophone | rap | hip hop | trap | pop rap | 6/10 | review,https://www.theneedledrop.com/articles/2021/1/ashnikko-demidevil
OK Human,Weezer,2021-02-01T23:05:00-0500,rock,Weezer - OK Human,8,weezer | ok human | 2021 | crush | album | rock | pop rock | baroque | chamber pop | 8/10 | review,https://www.theneedledrop.com/articles/2021/2/weezer-ok-human
We Are Always Alone,Portrayal of Guilt,2021-02-02T23:11:00-0500,loud rock,Portrayal of Guilt - We Are Always Alone,6,portrayal of guilt | we are always alone | 2021 | closed casket activities | loud rock | metal | black metal | screamo | 6/10 | review,https://www.theneedledrop.com/articles/2021/2/portrayal-of-guilt-we-are-always-alone
Sound Ancestors,Madlib,2021-02-03T23:09:00-0500,hip hop,Madlib - Sound Ancestors,7,madlib | sound ancestors | 2021 | album | self-released | rap | hip hop | instrumental hip hop | 7/10 | review,https://www.theneedledrop.com/articles/2021/2/madlib-sound-ancestors
Whole Lotta Red,Playboi Carti,2021-01-12T23:15:00-0500,hip hop,Playboi Carti - Whole Lotta Red,5,playboi carti | whole lotta red | wlr | 2020 | 2021 | interscope | rap | hip hop | trap | tread | experimental hip hop | vamp | punk | 5/10 | review,https://www.theneedledrop.com/articles/2021/1/playboi-carti-whole-lotta-red
Welfare Jazz,Viagra Boys,2021-01-14T23:20:00-0500,rock,Viagra Boys - Welfare Jazz,8,viagra boys | welfare jazz | 2021 | album | year0001 | sweden | rock | post-punk | art punk | punk blues | 8/10 | review,https://www.theneedledrop.com/articles/2021/1/viagra-boys-welfare-jazz
Music to Be Murdered By – Side B,Eminem,2021-01-13T23:18:00-0500,hip hop,Eminem - Music to Be Murdered By – Side B,3,eminem | music to be murdered by | side b | deluxe | album | 2020 | 2021 | rap | hip hop | shady | horrorcore | hardcore hip hop | pop rap | trap | 3/10 | review,https://www.theneedledrop.com/articles/2021/1/eminem-music-to-be-murdered-by-side-b
